('./data/facerecog/bocacafe/20180201/10.38.5.145_ch0_20180201_084244.518_face.jpg', u'male', u'Unknown')
('./data/facerecog/bocacafe/20180201/10.38.5.145_ch0_20180201_084250.220_face.jpg', u'male', u'Unknown')
('./data/facerecog/bocacafe/20180201/10.38.5.145_ch0_20180201_084529.359_face.jpg', u'male', u'Unknown')
('./data/facerecog/bocacafe/20180201/10.38.5.145_ch0_20180201_084610.595_face.jpg', u'male', u'Unknown')
('./data/facerecog/bocacafe/20180201/10.38.5.145_ch0_20180201_084725.831_face.jpg', u'male', u'Unknown')
('./data/facerecog/bocacafe/20180201/10.38.5.145_ch0_20180201_084859.152_face.jpg', u'female', u'Unknown')
('./data/facerecog/bocacafe/20180201/10.38.5.145_ch0_20180201_085014.857_face.jpg', u'male', u'Unknown')
('./data/facerecog/bocacafe/20180201/10.38.5.145_ch0_20180201_085019.620_face.jpg', u'male', u'Enrique')
('./data/facerecog/bocacafe/20180201/10.38.5.145_ch0_20180201_085130.866_face.jpg', u'female', u'Enrique')
('./data/facerecog/bocacafe/20180201/10.38.5.145_ch0_20180201_085138.841_face.jpg', u'male', u'Unknown')
('./data/facerecog/bocacafe/20180201/10.38.5.145_ch0_20180201_085203.396_face.jpg', u'male', u'Unknown')
('./data/facerecog/bocacafe/20180201/10.38.5.145_ch0_20180201_085206.949_face.jpg', u'male', u'Unknown')
('./data/facerecog/bocacafe/20180201/10.38.5.145_ch0_20180201_085218.700_face.jpg', u'male', u'Unknown')
('./data/facerecog/bocacafe/20180201/10.38.5.145_ch0_20180201_085241.499_face.jpg', u'male', u'Unknown')
('./data/facerecog/bocacafe/20180201/10.38.5.145_ch0_20180201_085245.833_face.jpg', u'male', u'Unknown')
('./data/facerecog/bocacafe/20180201/10.38.5.145_ch0_20180201_085249.967_face.jpg', u'female', u'Unknown')
('./data/facerecog/bocacafe/20180201/10.38.5.145_ch0_20180201_085257.735_face.jpg', u'female', u'Unknown')
('./data/facerecog/bocacafe/20180201/10.38.5.145_ch0_20180201_085304.297_face.jpg', u'male', u'Unknown')
('./data/facerecog/bocacafe/20180201/10.38.5.145_ch0_20180201_085313.430_face.jpg', u'male', u'Unknown')
('./data/facerecog/bocacafe/20180201/10.38.5.145_ch0_20180201_085320.035_face.jpg', u'male', u'Unknown')
